Photograph-women,Docu,2018,SPARATORE Ester,TIRESIAS FILMS
Tijuana bible,Fiction,2018,HUE Jean-Charles,AVALON
Un divan A Tunis,Fiction,2018,LABIDI Manele,KAZAK PRODUCTIONS
Une fille facile,Fiction,2018,ZLOTOWSKI Rebecca,LES FILMS VELVET
Versus,Fiction,2018,VALLA Francois,PLAYGROUND FILMS
Ce qu'il nous reste de la revolution,Fiction,2017,DAVIS Judith,AGAT FILMS & CIE ET APSARA FILMS
Du soleil dans mes yeux,Fiction,2017,GIRAUD Nicolas,FReRES ZAK PRODUCTION
Duelles,Fiction,2017,MASSET DEPASSE Olivier,HAUT ET COURT
Incident A Ghost Land,Fiction,2017,LAUGIER Pascal,5656 FILMS
Nos vies formidables,Fiction,2017,GODET Fabienne,LE BUREAU FILMS
Passed by Censor,Fiction,2017,KARAASLAN Serhat,SILEX
Petra,Fiction,2017,ROSALES Jaime,LES PRODUCTIONS BALTHAZAR
Sofia,Fiction,2017,BENM'BAREK Meryem,CURIOSA FILMS
The Dishwasher,Fiction,2017,GUEZ Jeremie,ATCHAFALAYA FILMS ET LABYRINTHE FILMS
The man who killed Don Quixote,Fiction,2017,GILLIAM Terry,KINOLOGY
A Prayer before Dawn,Fiction,2016,SAUVAIRE Jean-Stephane,SENORITA FILMS
Avril et Djam,Fiction,2016,GATLIF Tony,PRINCES PRODUCTION
Evolution,Fiction,2016,HADZIHALILOVIC Lucile,LES FILMS DU WORSO
Sel,Docu,2016,HESPEL Olivier,LES PRODUCTIONS DU LAGON
Antropoid,Fiction,2016,ELLIS Sean,VINGT DEUX HEURES VINGT DEUX
Neruda,Fiction,2016,LARRAIN Pablo,FUNNY BALLOONS
Seara de vento,Fiction,2016,TREFAUT Sergio,LES FILMS D'ICI
FRERES,Fiction,2003,DE CHOUDENS Xavier,AGAT FILMS ET CIE
A LONG WAY FROM HOME,Fiction,2012,GILBERT Virginia,SUPERBE FILMS
BANANOT,Fiction,2012,FOX Eytan,CHIC FILMS SAS
ENTRE LES BRAS LA CUISINE EN HERITAGE,Documentaire,2012,LACOSTE Paul,EVERYBODY ON DECK
MONSIEUR DELACOUR,Fiction,2012,GHEORGHITA Corneliu,MILONGA PRODUCTIONS
NOS HEROS SONT MORTS CE SOIR,Fiction,2012,PERRAULT David,MILLE ET UNE PRODUCTIONS
PHENIX ADAGIO,Documentaire,2012,ZERBIB Christian,VEO2MAX
SHADOW DANCER,Fiction,2011,MARSH James,WILD BUNCH
COEUR ANIMAL,Fiction,2009,CORNAMUSAZ Severine,ADR PRODUCTIONS
HUMAN ZOO,Fiction,2009,RASMUSSEN Rie,EUROPACORP
BAS-FONDS,Fiction,2008,LE BESCO Isild,SANGSHO
J'AIMERAIS PARTAGER LE PRINTEMPS AVEC QUELQU'UN,Documentaire,2008,MORDER Joseph,LA VIE EST BELLE FILMS ASSOCIES
CONGO RIVER AU-DELA DES TENEBRES,Documentaire,2005,MICHEL Thierry,LES FILMS D'ICI
J'AURAIS VOULU ETRE UN DANSEUR,Fiction,2005,BERLINER Alain,LIAISON CINEMATOGRAPHIQUE
SEPT ANS,Fiction,2005,HATTU Jean-Pascal,LES FILMS DU BELIER
Sarah Maldoror,Docu,2014,ORIACH Stephan,MYRIAPODUS FILMS EDITIONS
Vulcania,Fiction,2014,SKAF Jose,RAN ENTERTAINMENT
1001 grammes,Fiction,2013,HAMER Bent,SLOT MACHINE
Esto es lo que hay,Docu,2013,RINALDI Lea,ALEA FILMS
Lili Rose,Fiction,2013,BALLOUARD Bruno,OFFSHORE
The Lady in portrait,Fiction,2013,DE MEAUX Charles,ANNA SANDERS FILMS
IMPUNITE,Documentaire,2010,LOZANO Juan,DOLCE VITA FILMS
NOS ENFANTS NOUS ACCUSERONT,Documentaire,2007,JAUD Jean-Paul,J+B SEQUENCES
CE QUE MES YEUX ONT VU,Fiction,2006,DE BARTILLAT Laurent,SHILO FILMS
Francofonia le Louvre sous l'occupation,Docu,2013,SOKUROV Aleksandr,IDEALE AUDIENCE
Givors,Docu,2013,SANTANA Andrea,AGAT FILMS ET CIE
Je ne suis pas mort,Fiction,2013,BEN ATTIA Medhi,MERCREDI FILMS
La Danza de la realidad,Fiction,2013,JODOROWSKY Alejandro,CAMERA ONE
Memoire vive,Fiction,2013,BRETON Pascale,ZADIG FILMS
COULEURS D'ORCHESTRE,Documentaire,2005,TREILHOU Marie-Claude,LES FILMS D'ICI
JOUR APReS JOUR,Documentaire,2005,FARGIER Jean-Paul,EX NIHILO
NOBLE ART,Documentaire,2005,DEUX Pascal,BUDDY MOVIES
TOI ET MOI,Fiction,2005,LOPES-CURVAL Julie,SOMBRERO PRODUCTIONS
UNE ROMANCE ITALIENNE,Fiction,2005,MAZZACURATI Carlo,ORSANS PRODUCTIONS
Cafard,Anim,2014,BULTHEEL Jan,SUPERPROD
Maintenant ils peuvent venir,Fiction,2014,BRAHIMI Salem,KG PRODUCTIONS
Seule comme une baignoire,Fiction,2014,LANG Rachel,CHEVALDEUXTROIS
Veritable histoire de Robin des Bois,Fiction,2014,MARCIANO Anthony,ADAMA
Au-dela des montagnes,Fiction,2015,ZHANG KE Jia,MK PRODUCTIONS
Cami a casa,Fiction,2015,RODRIGUEZ Pol,NOODLES PRODUCTION
Little Go Girls,Docu,2015,DE LATOUR Eliane,SARL TAGGAMA
Ouvert la nuit,Fiction,2015,BAER Edouard,LES FILMS EN CABINE
Stan,Fiction,2015,RICHARD-SERRANO Magaly,BLUE MONDAY PRODUCTIONS
MORGEN,Fiction,2010,CRISAN Marian,SLOT MACHINE
PHOTO,Fiction,2012,SABOGA Carlos,ALFAMA FILMS PRODUCTION
DE GUERRE LASSES,Documentaire,2003,BECUE-RENARD Laurent,ALICE FILMS
GERBOISE BLEUE,Documentaire,2008,OUAMAB Djamel,KALAME FILMS
JCVD,Fiction,2008,EL MECHRI Mabrouk,GAUMONT
SAGAN,Fiction,2008,KURYS Diane,ALEXANDRE FILMS
UN CHAT UN CHAT,Fiction,2008,FILLIERES Sophie,PIERRE GRISE PRODUCTIONS
APReS LA CHUTE,Fiction,2007,SALEEM Hiner,AGAT FILMS ET CIE
NORD-PARADIS,Documentaire,2006,LAMOTTE Christophe,CAURI FILM
ALL GOOD CHILDREN,Fiction,2009,DUFFY Alicia,CINEMA DEFACTO
INFILTRATION,Fiction,2009,KOSASHVILI Dover,SOPHIE DULAC PRODUCTIONS
Au nom de la terre,Fiction,2018,BERGEON Edouard,NORD-OUEST FILMS
Dernier amour,Fiction,2018,JACQUOT Benoit,LES FILMS DU LENDEMAIN ET JPG FILMS
Etre vivant et le savoir,Fiction,2018,CAVALIER Alain,CAMeRA ONE
Justice en cours,Docu,2018,SALIS Robert,BANDITS
Mektoub my love : Intermezzo,Fiction,2018,KECHICHE Abdellatif,QUAT'SOUS FILMS
Mon frere,Fiction,2018,ABRAHAM Julien,EX NIHILO
Mon inconnue,Fiction,2018,GELIN Hugo,ZAZI FILMS ET MARS CINeMA
On a 20 ans pour changer le monde,Docu,2018,MEDIGUE Helene,RENDEZ-VOUS PRODUCTION
Full frontal,Fiction,2017,VIDAL-NAQUET Camille,LES FILMS DE LA CROISADE
